"('Year',)","('sigName',)","('재정자립도',)"
2003,강북구,30
2003,도봉구,35.1
2003,노원구,30.1
2003,은평구,29.1
2003,서대문구,38.8
2003,마포구,38.5
2003,양천구,42.9
2003,강서구,41.4
2003,구로구,40.6
2003,금천구,36.2
2003,영등포구,72.4
2003,동작구,42
2003,관악구,31.3
2003,서초구,89.8
2003,강남구,87.6
2003,송파구,62.9
2003,강동구,41.3
2004,서울시,…
2004,본청,94.5
2004,종로구,68.2
2004,중구,92.7
2004,용산구,53
2004,성동구,34.5
2004,광진구,37.6
2004,동대문구,36.4
2004,중랑구,30.3
2004,성북구,43.1
2004,강북구,27.9
2004,도봉구,38.3
2004,노원구,29.5
2004,은평구,30.9
2004,서대문구,39.6
2004,마포구,40.6
2004,양천구,44.6
2004,강서구,43.8
2004,구로구,39.3
2004,금천구,32.9
2004,영등포구,73.5
2004,동작구,43.3
2004,관악구,33.1
2004,서초구,91.4
2004,강남구,91.4
2004,송파구,74.1
2004,강동구,41.2
2005,서울시,…
2005,본청,95
2005,종로구,73.8
2005,중구,92.5
2005,용산구,55.3
2005,성동구,38
2005,광진구,41.6
2005,동대문구,38.3
2005,중랑구,31.1
2005,성북구,47.4
2005,강북구,29.1
2005,도봉구,37.2
2005,노원구,30.7
2005,은평구,35
2005,서대문구,43.5
2005,마포구,50.3
2005,양천구,58.2
2005,강서구,45.3
2005,구로구,47.1
2005,금천구,31.8
2005,영등포구,76
2005,동작구,47.1
2005,관악구,35.7
2005,서초구,92.6
2005,강남구,89.9
2005,송파구,83.7
2005,강동구,53.8
2006,서울시,…
2006,본청,93.3
2006,종로구,77.2
2006,중구,74.4
2006,용산구,53.5
2006,성동구,40.7
2006,광진구,44.9
2006,동대문구,41.3
2006,중랑구,29.3
2006,성북구,44.5
2006,강북구,31.1
2006,도봉구,38.5
2006,노원구,32
2006,은평구,30.4
2006,서대문구,43.6
2006,마포구,51.7
2006,양천구,59.7
2006,강서구,43.9
2006,구로구,43.9
2006,금천구,32.9
2006,영등포구,71.2
2006,동작구,48.2
2006,관악구,36.6
2006,서초구,90.4
2006,강남구,87.2
2006,송파구,84.2
2006,강동구,53.1
2007,서울시,…
2007,본청,88.7
2007,종로구,69.8
2007,중구,83
2007,용산구,53
2007,성동구,39.9
2007,광진구,39.9
2007,동대문구,36.9
2007,중랑구,29.5
2007,성북구,39.1
2007,강북구,30
2007,도봉구,34.6
2007,노원구,28.8
2007,은평구,33
2007,서대문구,40.3
2007,마포구,51.8
2007,양천구,52.8
2007,강서구,38.1
2007,구로구,42.9
2007,금천구,33.4
2007,영등포구,67.4
2007,동작구,42.1
2007,관악구,28.3
2007,서초구,90.5
2007,강남구,88
2007,송파구,74.9
2007,강동구,49.2
2008,서울시,…
2008,본청,85.7
2008,종로구,72.2
2008,중구,86
2008,용산구,70.2
2008,성동구,45.2
2008,광진구,44.6
2008,동대문구,38.7
2008,중랑구,30.9
2008,성북구,41.2
2008,강북구,36.2
2008,도봉구,35.3
2008,노원구,29.1
2008,은평구,35
2008,서대문구,45.4
2008,마포구,49.6
2008,양천구,52.9
2008,강서구,35.1
2008,구로구,41.4
2008,금천구,41.8
2008,영등포구,66.9
2008,동작구,43.4
2008,관악구,34.2
2008,서초구,77.1
2008,강남구,75.5
2008,송파구,70.6
2008,강동구,53.7
2009,서울시 평균,92
2009,본청,90.4
2009,자치구 평균,50.8
2009,종로구,81.2
2009,중구,85.7
2009,용산구,60.4
2009,성동구,51
2009,광진구,47.1
2009,동대문구,44.5
2009,중랑구,30.2
2009,성북구,40.6
2009,강북구,35
2009,도봉구,37.2
2009,노원구,29.2
2009,은평구,35.3
2009,서대문구,41.9
2009,마포구,48.2
2009,양천구,50.8
2009,강서구,32.9
2009,구로구,40.1
2009,금천구,37.4
2009,영등포구,68.8
2009,동작구,44
2009,관악구,34.5
2009,서초구,78.5
2009,강남구,79.4
2009,송파구,74.6
2009,강동구,49
2010,서울시 평균,85.8
2010,본청,83.4
2010,자치구 평균,49.3
2010,종로구,78.5
2010,중구,82.9
2010,용산구,62.7
2010,성동구,52
2010,광진구,44
2010,동대문구,46.2
2010,중랑구,30.5
2010,성북구,34.8
2010,강북구,31.7
2010,도봉구,35.9
2010,노원구,27.4
2010,은평구,33.8
2010,서대문구,38.6
2010,마포구,47.1
2010,양천구,43.6
2010,강서구,33.8
2010,구로구,40.1
2010,금천구,37.8
2010,영등포구,66.5
2010,동작구,45
2010,관악구,33.9
2010,서초구,79.8
2010,강남구,77.1
2010,송파구,73.9
2010,강동구,44.5
2011,서울시 평균,90.3
2011,본청,88.8
2011,자치구 평균,47.7
2011,종로구,72.1
2011,중구,77.1
2011,용산구,63.8
2011,성동구,51
2011,광진구,42.5
2011,동대문구,43.1
2011,중랑구,31.5
2011,성북구,35.8
2011,강북구,32.1
2011,도봉구,32.1
2011,노원구,27.7
2011,은평구,29.7
2011,서대문구,40
2011,마포구,49.3
2011,양천구,41.1
2011,강서구,34.5
2011,구로구,38.7
2011,금천구,41
2011,영등포구,59.5
2011,동작구,47.7
2011,관악구,34.3
2011,서초구,79.4
2011,강남구,82.8
2011,송파구,61.2
2011,강동구,47.7
2012,서울시 평균,90.2
2012,본청,88.7
2012,자치구 평균,46
2012,종로구,65.7
2012,중구,76.9
2012,용산구,61.6
2012,성동구,50.4
2012,광진구,37.7
2012,동대문구,41.6
2012,중랑구,30.7
2012,성북구,33.4
2012,강북구,29.6
2012,도봉구,30.1
2012,노원구,22.7
2012,은평구,30.9
2012,서대문구,40.8
2012,마포구,49.1
2012,양천구,39
2012,강서구,33.1
2012,구로구,36.8
2012,금천구,42.2
2012,영등포구,56.2
2012,동작구,44.4
2012,관악구,34
2012,서초구,81.5
2012,강남구,80.5
2012,송파구,63.3
2012,강동구,44.2
2013,서울시 평균,88.8
2013,본청,87.7
2013,자치구 평균,41.8
2013,종로구,61
2013,중구,70.9
2013,용산구,55.4
2013,성동구,48.7
2013,광진구,34.2
2013,동대문구,35.9
2013,중랑구,28
2013,성북구,30.5
2013,강북구,26.2
2013,도봉구,27.6
2013,노원구,22.3
2013,은평구,29.2
2013,서대문구,39.2
2013,마포구,46.1
2013,양천구,35.8
2013,강서구,29.7
2013,구로구,32.1
2013,금천구,39.1
2013,영등포구,49.4
2013,동작구,40
2013,관악구,33
2013,서초구,73.8
2013,강남구,75.9
2013,송파구,55.1
2013,강동구,39.1
2014,서울시 평균,84.2(80.0)
2014,본청,82.6(80.4)
2014,자치구 평균,38.5(33.6)
2014,종로구,61.1(55.0)
2014,중구,71.6(63.5)
2014,용산구,51.2(43.1)
2014,성동구,45.0(32.2)
2014,광진구,32.1(30.4)
2014,동대문구,32.9(28.6)
2014,중랑구,25.9(23.1)
2014,성북구,26.8(23.9)
2014,강북구,24.1(20.4)
2014,도봉구,24.9(21.2)
2014,노원구,19.0(17.2)
2014,은평구,24.5(22.1)
2014,서대문구,33.7(28.4)
2014,마포구,42.6(32.8)
2014,양천구,31.9(29.4)
2014,강서구,27.6(23.3)
2014,구로구,30.9(27.1)
2014,금천구,33.7(30.3)
2014,영등포구,49.2(42.4)
2014,동작구,34.4(31.8)
2014,관악구,31.1(25.3)
2014,서초구,69.0(63.0)
2014,강남구,70.3(64.3)
2014,송파구,51.3(44.5)
2014,강동구,34.9(30.4)
2015,서울시 평균,84.3(80.3)
2015,본청,82.7(80.4)
2015,자치구 평균,35.3(31.5)
2015,종로구,56.2(50.0)
2015,중구,65.7(58.6)
2015,용산구,47.9(40.1)
2015,성동구,39.4(34.5)
2015,광진구,30.9(27.4)
2015,동대문구,29.4(27.0)
2015,중랑구,23.9(23.2)
2015,성북구,24.4(22.4)
2015,강북구,21.8(18.6)
2015,도봉구,22.8(19.5)
2015,노원구,17.5(15.9)
2015,은평구,22.0(19.8)
2015,서대문구,30.4(25.7)
2015,마포구,40.9(33.3)
2015,양천구,28.7(27.3)
2015,강서구,26.0(22.4)
2015,구로구,27.1(25.1)
2015,금천구,31.6(27.4)
2015,영등포구,46.3(44.2)
2015,동작구,28.7(28.7)
2015,관악구,25.3(21.6)
2015,서초구,64.0(57.4)
2015,강남구,66.2(60.0)
2015,송파구,49.3(42.1)
2015,강동구,32.2(29.2)
2016,서울시 평균,84.7(80.7)
2016,본청,83.0(80.7)
2016,자치구 평균,35.5(31.7)
2016,종로구,54.6(50.4)
2016,중구,65.2(57.1)
2016,용산구,47.1(41.0)
2016,성동구,40.0(37.3)
2016,광진구,32.3(27.2)
2016,동대문구,29.5(27.8)
2016,중랑구,23.3(21.0)
2016,성북구,25.5(22.8)
2016,강북구,22.8(19.1)
2016,도봉구,23.8(20.4)
2016,노원구,19.2(17.7)
2016,은평구,23.7(20.8)
2016,서대문구,30.1(26.2)
2016,마포구,40.9(33.1)
2016,양천구,30.6(28.2)
2016,강서구,25.6(22.5)
2016,구로구,26.6(24.8)
2016,금천구,31.3(26.8)
2016,영등포구,45.1(42.8)
2016,동작구,33.1(28.7)
2016,관악구,24.8(20.7)
2016,서초구,63.6(57.9)
2016,강남구,65.0(60.0)
2016,송파구,48.9(42.9)
2016,강동구,33.0(30.2)
2017,서울시 평균,80.5
2017,본청,81.3
2017,자치구 평균,31.1
2017,종로구,50.8
2017,중구,58.4
2017,용산구,42.4
2017,성동구,34.5
2017,광진구,28.1
2017,동대문구,27.2
2017,중랑구,20.6
2017,성북구,21.8
2017,강북구,18.8
2017,도봉구,19.8
2017,노원구,17.8
2017,은평구,19.1
2017,서대문구,26.6
2017,마포구,32.9
2017,양천구,28.5
2017,강서구,21.6
2017,구로구,24
2017,금천구,27.2
2017,영등포구,42
2017,동작구,27.2
2017,관악구,20.6
2017,서초구,52.5
2017,강남구,58.2
2017,송파구,42.8
2017,강동구,30.1
2018,서울시 평균,79.2
2018,본청,80.6
2018,자치구 평균,29.3
2018,종로구,47.4
2018,중구,53.4
2018,용산구,41.1
2018,성동구,34.1
2018,광진구,27.1
2018,동대문구,25.6
2018,중랑구,19
2018,성북구,19.6
2018,강북구,17.6
2018,도봉구,18.5
2018,노원구,15.6
2018,은평구,18
2018,서대문구,25.4
2018,마포구,31.5
2018,양천구,26.8
2018,강서구,21.5
2018,구로구,22.5
2018,금천구,25.6
2018,영등포구,37.9
2018,동작구,26.8
2018,관악구,19.4
2018,서초구,53.4
2018,강남구,53.3
2018,송파구,39
2018,강동구,31
2019,서울시 평균,76.5
2019,본청,78.4
2019,자치구 평균,28.1
2019,종로구,47.4
2019,중구,54.9
2019,용산구,39.2
2019,성동구,32.5
2019,광진구,26.7
2019,동대문구,23.8
2019,중랑구,18.1
2019,성북구,19.6
2019,강북구,16.8
2019,도봉구,17.8
2019,노원구,15.4
2019,은평구,17.5
2019,서대문구,24.1
2019,마포구,30.7
2019,양천구,24.5
2019,강서구,19.7
2019,구로구,21.8
2019,금천구,25.3
2019,영등포구,35.7
2019,동작구,26
2019,관악구,18.7
2019,서초구,53.3
2019,강남구,54.4
2019,송파구,38.4
2019,강동구,22.2
2020,서울시 평균,76.1
2020,본청,77.9
2020,자치구 평균,28.4
2020,종로구,47
2020,중구,53.5
2020,용산구,39.3
2020,성동구,32.7
2020,광진구,26.2
2020,동대문구,23.2
2020,중랑구,17.5
2020,성북구,20
2020,강북구,16.8
2020,도봉구,18.4
2020,노원구,15.8
2020,은평구,17.9
2020,서대문구,23.4
2020,마포구,31.6
2020,양천구,25.2
2020,강서구,21.1
2020,구로구,22.2
2020,금천구,24.7
2020,영등포구,36
2020,동작구,26.4
2020,관악구,19.3
2020,서초구,54.7
2020,강남구,52.3
2020,송파구,37.6
2020,강동구,26.3
