연번,역번호,호선,역명,역전화번호,역주소
105,418,4,성신여대입구,02-6110-4181,서울특별시 성북구 동소문로 지하 102 (동선동4가)
106,419,4,한성대입구,02-6110-4191,서울특별시 성북구 삼선교로 지하1 (삼선동1가)
107,420,4,혜화,02-6110-4201,서울특별시 종로구 대학로 지하 120 (동숭동)
108,421,4,동대문,02-6110-4211,서울특별시 종로구 율곡로 308
109,422,4,동대문역사문화공원,02-6110-4221,서울특별시 중구 장충단로 지하 230 (광희동 2가)
110,423,4,충무로,02-6110-4231,서울특별시 중구 퇴계로 지하 199 (필동2가)
111,424,4,명동,02-6110-4241,서울특별시 중구 퇴계로 지하 126 (충무로2가)
112,425,4,회현,02-6110-4251,서울특별시 중구 퇴계로 지하 54 (남창동)
113,426,4,서울역,02-6110-4261,서울특별시 용산구 한강대로 지하 392(동자동) 
114,427,4,숙대입구,02-6110-4271,서울특별시 용산구 한강대로 지하 306
115,428,4,삼각지,02-6110-4281,서울특별시 용산구 한강대로 지하 180 (한강로1가)
116,429,4,신용산,02-6110-4291,서울특별시 용산구 한강대로 지하 112 (한강로2가)
117,430,4,이촌,02-6110-4301,서울특별시 용산구 용산동5가 17
118,431,4,동작,02-6110-4311,서울특별시 동작구 현충로 257 (동작동)
119,432,4,총신대입구,02-6110-4321,서울특별시 동작구 동작대로 지하 117 (사당동)
120,433,4,사당,02-6110-4331,서울특별시 동작구 동작대로 3(사당동 / 사당역(4호선))
121,434,4,남태령,02-6110-4341,서울특별시 서초구 과천대로 지하 816 (방배동)
122,2511,5,방화,02-6311-5101,서울특별시 강서구 금낭화로 지하132 (방화동)
123,2512,5,개화산,02-6311-5111,서울특별시 강서구 양천로 22(방화동)
124,2513,5,김포공항,02-6311-5121,서울특별시 강서구 하늘길 지하77 (방화동)
125,2514,5,송정,02-6311-5131,서울특별시 강서구 공항대로 지하33 (공항동)
126,2515,5,마곡,02-6311-5141,서울특별시 강서구 공항대로 지하163 (가양동)
127,2516,5,발산,02-6311-5151,서울특별시 강서구 공항대로 지하267 (가양동)
128,2517,5,우장산,02-6311-5161,서울특별시 강서구 강서로 지하262 (화곡동)
129,2518,5,화곡,02-6311-5171,서울특별시 강서구 화곡로 지하168 (화곡동)
130,2519,5,까치산,02-6311-5181,서울특별시 강서구 강서로 지하54(화곡동)
131,2520,5,신정,02-6311-5191,서울특별시 양천구 오목로 지하179 (신정동)
132,2521,5,목동,02-6311-5201,서울특별시 양천구 오목로 지하245 (목동)
133,2522,5,오목교,02-6311-5211,서울특별시 양천구 오목로 지하342 (목동)
134,2523,5,양평,02-6311-5221,서울특별시 영등포구 양산로 지하21 (양평동2가)
135,2524,5,영등포구청,02-6311-5231,서울특별시 영등포구 당산로 지하 121 (당산동3가)
136,2525,5,영등포시장,02-6311-5241,서울특별시 영등포구 양산로 지하200 (영등포동5가)
137,2526,5,신길,02-6311-5251,서울특별시 영등포구 경인로114가길 지하9 (영등포동1가)
138,2527,5,여의도,02-6311-5261,서울특별시 영등포구 여의나루로 지하40 (여의도동)
139,2528,5,여의나루,02-6311-5271,서울특별시 영등포구 여의동로 지하343 (여의도동)
140,2529,5,마포,02-6311-5281,서울특별시 마포구 마포대로 지하33 (도화동)
141,2530,5,공덕,02-6311-5291,서울특별시 마포구 마포대로 지하100 (공덕동)
142,2531,5,애오개,02-6311-5301,서울특별시 마포구 마포대로 지하210 (아현동)
143,2532,5,충정로,02-6311-5311,서울특별시 서대문구 충정로 28-1
144,2533,5,서대문,02-6311-5321,서울특별시 종로구 통일로 지하126 (평동)
145,2534,5,광화문,02-6311-5331,서울특별시 종로구 세종대로 지하172 (세종로)
146,2535,5,종로3가,02-6311-5341,서울특별시 종로구 종로 지하 129 (종로3가)
147,2536,5,을지로4가,02-6311-5351,서울특별시 중구 을지로 지하 178 (을지로4가)
148,2537,5,동대문역사문화공원,02-6311-5361,서울특별시 중구 을지로 지하 279 (을지로7가)
149,2538,5,청구,02-6311-5371,서울특별시 중구 청구로 지하77 (신당동)
150,2539,5,신금호,02-6311-5381,서울특별시 성동구 금호로 지하154 (금호동2가)
151,2540,5,행당,02-6311-5391,서울특별시 성동구 행당로 지하89 (행당동)
152,2541,5,왕십리,02-6311-5401,서울특별시 성동구 왕십리로 지하300 (행당동)
153,2542,5,마장,02-6311-5411,서울특별시 성동구 마장로 지하296 (마장동)
154,2543,5,답십리,02-6311-5421,서울특별시 성동구 천호대로 지하300(용답동)
155,2544,5,장한평,02-6311-5431,서울특별시 동대문구 천호대로 지하405 (장안동)
156,2545,5,군자,02-6311-5441,서울특별시 광진구 천호대로 지하550
157,2546,5,아차산,02-6311-5451,서울특별시 광진구 천호대로 지하657
158,2547,5,광나루,02-6311-5461,서울특별시 광진구 아차산로 지하571 (광장동)
159,2548,5,천호,02-6311-5471,서울특별시 강동구 천호대로 지하997 (천호동)
160,2549,5,강동,02-6311-5481,서울특별시 강동구 천호대로 지하1097 (천호동)
161,2550,5,길동,02-6311-5491,서울특별시 강동구 양재대로 지하1480 (길동)
162,2551,5,굽은다리,02-6311-5501,서울특별시 강동구 양재대로 지하1572 (명일동)
163,2552,5,명일,02-6311-5511,서울특별시 강동구 양재대로 지하1632 (명일동)
164,2553,5,고덕,02-6311-5521,서울특별시 강동구 고덕로 지하253 (고덕동)
165,2554,5,상일동,02-6311-5531,서울특별시 강동구 고덕로 지하359 (상일동)
166,2555,5,둔촌동,02-6311-5541,서울특별시 강동구 양재대로 지하1369 (둔촌동)
167,2556,5,올림픽공원,02-6311-5551,서울특별시 송파구 양재대로 지하1233
168,2557,5,방이,02-6311-5561,서울특별시 송파구 양재대로 지하1127 (방이동)
169,2558,5,오금,02-6110-3521,서울특별시 송파구 오금로 지하 321 (오금동)
170,2559,5,개롱,02-6311-5581,서울특별시 송파구 오금로 지하402 (가락동)
171,2560,5,거여,02-6311-5591,서울특별시 송파구 오금로 지하499 (거여동)
172,2561,5,마천,02-6311-5601,서울특별시 송파구 마천로57길 지하7 (마천동)
173,2611,6,응암,02-6311-6101,서울특별시 은평구 증산로 지하477 (역촌동)
174,2612,6,역촌,02-6311-6111,서울특별시 은평구 서오릉로 지하63 (녹번동)
175,2613,6,불광,02-6311-6121,서울특별시 은평구 통일로 지하 723-1 (대조동)
176,2614,6,독바위,02-6311-6131,서울특별시 은평구 불광로 지하129-1 (불광동)
177,2615,6,연신내,02-6311-6141,서울특별시 은평구 통일로 지하 849 (갈현동)
178,2616,6,구산,02-6311-6151,서울특별시 은평구 연서로 지하137-1 (구산동)
179,2617,6,새절,02-6311-6161,서울특별시 은평구 증산로 지하400 (신사동
180,2618,6,증산,02-6311-6171,서울특별시 은평구 증산로 지하306 (증산동)
181,2619,6,디지털미디어시티,02-6311-6181,서울특별시 은평구 수색로 지하175 (증산동)
182,2620,6,월드컵경기장,02-6311-6191,서울특별시 마포구 월드컵로 지하240 (성산동)
183,2621,6,마포구청,02-6311-6201,서울특별시 마포구 월드컵로 지하190 (성산동)
184,2622,6,망원,02-6311-6211,서울특별시 마포구 월드컵로 지하77 (망원동)
185,2623,6,합정,02-6311-6221,서울특별시 마포구 양화로 지하 45 
186,2624,6,상수,02-6311-6231,서울특별시 마포구 독막로 지하85 (상수동)
187,2625,6,광흥창,02-6311-6241,서울특별시 마포구 독막로 지하 165
188,2626,6,대흥,02-6311-6251,서울특별시 마포구 대흥로 지하 85
189,2627,6,공덕,02-6311-5291,서울특별시 마포구 백범로 지하 200(공덕동)
190,2628,6,효창공원앞,02-6311-6271,서울특별시 용산구 백범로 지하287 (효창동)
191,2629,6,삼각지,02-6311-6281,서울특별시 용산구 한강대로 지하 180 (한강로1가)
192,2630,6,녹사평,02-6311-6291,서울특별시 용산구 녹사평대로 지하195 (용산동4가)
193,2631,6,이태원,02-6311-6301,서울특별시 용산구 이태원로 지하177 (이태원동)
194,2632,6,한강진,02-6311-6311,서울특별시 용산구 이태원로 지하287 (한남동)
195,2633,6,버티고개,02-6311-6321,서울특별시 중구 다산로 지하38 (신당동)
196,2634,6,약수,02-6311-6331,서울특별시 중구 다산로 지하 155 (신당동)
197,2635,6,청구,02-6311-5371,서울특별시 중구 청구로 지하77 (신당동)
198,2636,6,신당,02-6311-6351,서울특별시 중구 퇴계로 지하 431-1 (신당동)
199,2637,6,동묘앞,02-6311-6361,서울특별시 종로구 종로 359 (숭인동)
200,2638,6,창신,02-6311-6371,서울특별시 종로구 지봉로 지하112 (창신동)
201,2639,6,보문,02-6311-6381,서울특별시 성북구 보문로 지하116 (보문동1가)
202,2640,6,안암,02-6311-6391,서울특별시 성북구 고려대로 지하89 (안암동5가)
203,2641,6,고려대,02-6311-6401,서울특별시 성북구 종암로 지하1 (종암동)
204,2642,6,월곡,02-6311-6411,서울특별시 성북구 월곡로 지하107 (하월곡동)
205,2643,6,상월곡,02-6311-6421,서울특별시 성북구 화랑로 지하157 (상월곡동)
206,2644,6,돌곶이,02-6311-6431,서울특별시 성북구 화랑로 지하243 (석관동)
207,2645,6,석계,02-6311-6441,서울특별시 노원구 화랑로 지하347-1 (월계동)
208,2646,6,태릉입구,02-6311-7171,서울특별시 노원구 동일로 지하992-1 (공릉동)
209,2647,6,화랑대,02-6311-6461,서울특별시 노원구 화랑로 지하510
210,2648,6,봉화산,02-6311-6471,서울특별시 중랑구 신내로 지하232 (신내동)
211,2649,6,신내,02-6311-6481,서울특별시 중랑구 용마산로136길 33
212,2711,7,장암,02-6311-7091,경기도 의정부시 동일로 121 (장암동)
213,2712,7,도봉산,02-6311-7101,서울특별시 도봉구 도봉로 964-40 (도봉동)
214,2713,7,수락산,02-6311-7111,서울특별시 노원구 동일로 지하1662 (상계동)
215,2714,7,마들,02-6311-7121,서울특별시 노원구 동일로 지하1530-1 (상계동)
216,2715,7,노원,02-6311-7131,서울특별시 노원구 상계로 69-1 (상계동)
217,2716,7,중계,02-6311-7141,서울특별시 노원구 동일로 지하1308-1 (중계동)
218,2717,7,하계,02-6311-7151,서울특별시 노원구 동일로 지하1196 (하계동)
219,2718,7,공릉,02-6311-7161,서울특별시 노원구 동일로 지하1074
220,2719,7,태릉입구,02-6311-7171,서울특별시 노원구 동일로 지하992-1 (공릉동)
221,2720,7,먹골,02-6311-7181,서울특별시 중랑구 동일로 지하901 (묵동)
222,2721,7,중화,02-6311-7191,서울특별시 중랑구 동일로 지하797 (중화동)
223,2722,7,상봉,02-6311-7201,서울특별시 중랑구 망우로 지하 297
224,2723,7,면목,02-6311-7211,서울특별시 중랑구 면목로 지하407(면목동 / 면목역)
225,2724,7,사가정,02-6311-7221,서울특별시 중랑구 사가정로 지하393 (면목동)
226,2725,7,용마산,02-6311-7231,서울특별시 중랑구 용마산로 지하227 (면목동)
227,2726,7,중곡,02-6311-7241,서울특별시 광진구 능동로 지하417 (중곡동)
228,2727,7,군자,02-6311-5441,서울특별시 광진구 천호대로 지하550
229,2728,7,어린이대공원,02-6311-7261,서울특별시 광진구 능동로 지하210 (화양동)
230,2729,7,건대입구,02-6311-7271,서울특별시 광진구 능동로110(화양동6-3)
231,2730,7,뚝섬유원지,02-6311-7281,서울특별시 광진구 능동로 10 (자양동)
232,2731,7,청담,02-6311-7291,서울특별시 강남구 학동로 지하508 (청담동)
233,2732,7,강남구청,02-6311-7301,서울특별시 강남구 학동로 지하346 (삼성동)
234,2733,7,학동,02-6311-7311,서울특별시 강남구 학동로 지하180 (논현동)
235,2734,7,논현,02-6311-7321,서울특별시 강남구 학동로 지하102(논현동)
236,2735,7,반포,02-6311-7331,서울특별시 서초구 신반포로 지하241(잠원동)
237,2736,7,고속터미널,02-6311-7341,서울특별시 서초구 신반포로 지하 188 (반포동)
238,2737,7,내방,02-6311-7351,서울특별시 서초구 서초대로 지하103 (방배동)
239,2738,7,이수,02-6311-7361,서울특별시 동작구 사당로 지하310 (사당동)
240,2739,7,남성,02-6311-7371,서울특별시 동작구 사당로 지하218 (사당동)
241,2740,7,숭실대입구,02-6311-7381,서울특별시 동작구 상도로 지하 378
242,2741,7,상도,02-6311-7392,서울특별시 동작구 상도로 지하272 (상도1동)
243,2742,7,장승배기,02-6311-7401,서울특별시 동작구 상도로 지하188 (상도동)
244,2743,7,신대방삼거리,02-6311-7411,서울특별시 동작구 상도로 지하76 (대방동) 
245,2744,7,보라매,02-6311-7421,서울특별시 동작구 상도로 지하2 (대방동)
246,2745,7,신풍,02-6311-7431,서울특별시 영등포구 신풍로 지하27 (신길동)
247,2746,7,대림,02-6311-7441,서울특별시 영등포구 도림로 지하137
248,2747,7,남구로,02-6311-7451,서울특별시 구로구 도림로 지하7 (구로동)
249,2748,7,가산디지털단지,02-6311-7461,서울특별시 금천구 벚꽃로 309 (가산동)
250,2749,7,철산,02-6311-7471,경기도 광명시 철산로 지하13 (철산동)
251,2750,7,광명사거리,02-6311-7481,경기도 광명시 오리로 지하980(광명동)
252,2751,7,천왕,02-6311-7491,서울특별시 구로구 오리로 지하1154(오류동)
253,2752,7,온수,02-6311-7501,서울특별시 구로구 경인로3길 지하64 (온수동)
254,2753,7,까치울,02-6311-7511,경기도 부천시 길주로 626 
255,2754,7,부천종합운동장,02-6311-7521,경기도 부천시 길주로 지하 502 
256,2755,7,춘의,02-6311-7531,경기도 부천시 길주로 지하 406 
257,2756,7,신중동,02-6311-7541,경기도 부천시 길주로 314 
258,2757,7,부천시청,02-6311-7551,경기도 부천시 길주로 202 
259,2758,7,상동,02-6311-7561,경기도 부천시 길주로 104 
260,2759,7,삼산체육관,02-6311-7571,인천광역시 부평구 길주로 지하713 (삼산동)
261,2760,7,굴포천,02-6311-7581,인천광역시 부평구 길주로 지하623 (삼산동)
262,2761,7,부평구청,02-6311-7591,인천광역시 부평구 길주로 지하527(갈산동)
263,2811,8,암사,02-6311-8101,서울특별시 강동구 올림픽로 지하776 (암사동)
264,2812,8,천호,02-6311-5471,서울특별시 강동구 천호대로 지하997 (천호동)
265,2813,8,강동구청,02-6311-8121,서울특별시 강동구 올림픽로 지하550 (성내동)
266,2814,8,몽촌토성,02-6311-8131,서울특별시 송파구 올림픽로 지하383
267,2815,8,잠실,02-6311-8141,서울특별시 송파구 올림픽로 지하 265 (잠실동)
268,2816,8,석촌,02-6311-8151,서울특별시 송파구 송파대로 지하439 (석촌동)
269,2817,8,송파,02-6311-8161,서울특별시 송파구 송파대로 지하354 (가락동)
270,2818,8,가락시장,02-6311-8171,서울특별시 송파구 송파대로 지하 257 (가락동)
271,2819,8,문정,02-6311-8181,서울특별시 송파구 송파대로 지하179 (문정동)
272,2820,8,장지,02-6311-8191,서울특별시 송파구 송파대로 지하82 (장지동)
273,2821,8,복정,02-6311-8201,서울특별시 송파구 송파대로 지하6 (장지동)
274,2822,8,산성,02-6311-8211,경기도 성남시 수정구 수정로 지하365(신흥동)
275,2823,8,남한산성입구,02-6311-8221,경기도 성남시 수정구 산성대로 지하 445
276,2824,8,단대오거리,02-6311-8231,경기도 성남시 수정구 산성대로 지하365 (신흥동)
277,2825,8,신흥,02-6311-8241,경기도 성남시 수정구 산성대로 지하280 (신흥동)
278,2826,8,수진,02-6311-8251,경기도 성남시 수정구 산성대로 지하200 (수진동)
279,2827,8,모란,02-6311-8261,경기도 성남시 수정구 산성대로 지하100 (수진동)
280,4126,9,언주,02-2656-0926,서울특별시 강남구 봉은사로 지하 201
281,4127,9,선정릉,02-2656-0927,서울특별시 강남구 선릉로 지하 580
282,4128,9,삼성중앙,02-2656-0928,서울특별시 강남구 봉은사로 지하 501
283,4129,9,봉은사,02-2656-0929,서울특별시 강남구 봉은사로 지하 601
284,4130,9,종합운동장,02-2656-0930,서울특별시 송파구 올림픽로 지하 23 (잠실동)
285,4131,9,삼전,02-2656-0931,서울특별시 송파구 백제고분로 187
286,4132,9,석촌고분,02-2656-0932,서울특별시 송파구 삼학사로 53
287,4133,9,석촌,02-2656-0933,서울특별시 송파구 송파대로 439
288,4134,9,송파나루,02-2656-0934,서울특별시 송파구 오금로 165
289,4135,9,한성백제,02-2656-0935,서울특별시 송파구 위례성대로 51
290,4136,9,올림픽공원,02-2656-0936,서울특별시 송파구 양재대로 1233
291,4137,9,둔촌오륜,02-2656-0937,서울특별시 송파구 강동대로 327
292,4138,9,중앙보훈병원,02-2656-0938,서울특별시 강동구 명일로 117
