기간	자치구	초·중·고 학생수	사설학원수	학생1만명당 사설학원수
2016	노원구	76,307	794	104.1
2016	은평구	51,292	469	91.4
2016	서대문구	27,087	351	129.6
2016	마포구	31,730	603	190
2016	양천구	59,581	1,039	174.4
2016	강서구	59,112	708	119.8
2016	구로구	39,743	411	103.4
2016	금천구	19,731	210	106.4
2016	영등포구	29,466	471	159.9
2016	동작구	33,338	466	139.8
2016	관악구	37,563	456	121.4
2016	서초구	47,877	1,087	227
2016	강남구	64,412	2,078	322.6
2016	송파구	69,477	1,109	159.6
2016	강동구	45,494	723	158.9
2017	합계	938,302	14,189	151.2
2017	종로구	19,758	297	150.3
2017	중구	15,256	128	83.9
2017	용산구	18,780	175	93.2
2017	성동구	23,857	295	123.7
2017	광진구	32,417	442	136.4
2017	동대문구	30,290	360	118.9
2017	중랑구	31,119	288	92.6
2017	성북구	42,676	457	107.1
2017	강북구	24,222	227	93.7
2017	도봉구	32,149	360	112
2017	노원구	72,169	775	107.4
2017	은평구	49,191	521	105.9
2017	서대문구	26,254	342	130.3
2017	마포구	30,717	616	200.5
2017	양천구	57,741	1,052	182.2
2017	강서구	57,214	713	124.6
2017	구로구	38,562	431	111.8
2017	금천구	18,770	215	114.5
2017	영등포구	27,802	470	169.1
2017	동작구	32,362	472	145.9
2017	관악구	35,532	455	128.1
2017	서초구	47,258	1,090	230.7
2017	강남구	62,964	2,246	356.7
2017	송파구	67,537	1,093	161.8
2017	강동구	43,705	669	153.1
2018	합계	900,684	14,080	156.3
2018	종로구	18,468	274	148.4
2018	중구	14,751	119	80.7
2018	용산구	17,855	158	88.5
2018	성동구	23,086	314	136
2018	광진구	31,084	430	138.3
2018	동대문구	28,755	363	126.2
2018	중랑구	29,754	273	91.8
2018	성북구	41,039	464	113.1
2018	강북구	23,174	218	94.1
2018	도봉구	30,707	335	109.1
2018	노원구	67,933	747	110
2018	은평구	46,992	521	110.9
2018	서대문구	25,403	345	135.8
2018	마포구	29,648	644	217.2
2018	양천구	55,258	1,062	192.2
2018	강서구	55,703	707	126.9
2018	구로구	37,286	427	114.5
2018	금천구	17,987	222	123.4
2018	영등포구	26,822	467	174.1
2018	동작구	31,207	458	146.8
2018	관악구	33,943	450	132.6
2018	서초구	46,090	1,130	245.2
2018	강남구	60,608	2,263	373.4
2018	송파구	65,261	1,051	161
2018	강동구	41,870	638	152.4
2019	합계	866,395	14,044	162.1
2019	종로구	17,363	259	149.2
2019	중구	14,115	118	83.6
2019	용산구	16,852	155	92
2019	성동구	22,045	293	132.9
2019	광진구	29,965	406	135.5
2019	동대문구	27,509	368	133.8
2019	중랑구	28,596	276	96.5
2019	성북구	39,384	450	114.3
2019	강북구	22,134	209	94.4
2019	도봉구	29,268	317	108.3
2019	노원구	63,924	740	115.8
2019	은평구	45,177	525	116.2
2019	서대문구	24,562	346	140.9
2019	마포구	28,825	683	237
2019	양천구	53,162	1,037	195.1
2019	강서구	53,845	693	128.7
2019	구로구	36,200	406	112.2
2019	금천구	17,293	224	129.5
2019	영등포구	25,992	446	171.6
2019	동작구	30,176	465	154.1
2019	관악구	32,199	443	137.6
2019	서초구	44,671	1,119	250.5
2019	강남구	58,914	2,279	386.8
2019	송파구	63,999	1,115	174.2
2019	강동구	40,225	672	167.1
2020	합계	840,933	13,992	166.4
2020	종로구	16,452	243	147.7
2020	중구	13,566	109	80.3
2020	용산구	15,852	154	97.1
2020	성동구	20,447	289	141.3
2020	광진구	28,972	405	139.8
2020	동대문구	26,533	350	131.9
2020	중랑구	27,353	262	95.8
2020	성북구	37,884	439	115.9
2020	강북구	21,398	206	96.3
2020	도봉구	27,661	297	107.4
2020	노원구	61,078	718	117.6
2020	은평구	43,300	519	119.9
2020	서대문구	24,144	348	144.1
2020	마포구	27,821	689	247.7
2020	양천구	52,115	1,008	193.4
2020	강서구	51,758	694	134.1
2020	구로구	35,384	394	111.3
2020	금천구	16,497	212	128.5
2020	영등포구	25,331	445	175.7
2020	동작구	29,160	471	161.5
2020	관악구	30,710	431	140.3
2020	서초구	43,580	1,148	263.4
2020	강남구	59,344	2,361	397.8
2020	송파구	62,219	1,076	172.9
2020	강동구	42,374	724	170.9
